SearchResults
Search type: State,,,,
California,,,,
Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,FIPS Code
ACLEP,ACLEP2,Achnatherum lemmonii (Vasey) Barkworth ssp. pubescens (Crampton) Barkworth,,US06
ACLEP,STLEP,Stipa lemmonii (Vasey) Scribn. var. pubescens Crampton,,US06
ACLE9,,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,US06
ACLE9,STLE4,Stipa lettermanii Vasey,,US06
ACNE9,,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,US06
ACNED,ACNED2,Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn,,US06
ACNED,STCO3,"Stipa columbiana Macoun, nom. utique rej.",,US06
ACNED,STNED,Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze,,US06
ACNED,,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Dore's needlegrass,US06
ACNED,STNED2,Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn,,US06
ACNED,STMI6,Stipa minor (Vasey) Scribn.,,US06
ACNED,STOCM,"Stipa occidentalis Thurb. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc.",,US06
ACNE10,,Achnatherum nevadense (B.L. Johnson) Barkworth,Nevada needlegrass,US06
ACNE10,STNE4,Stipa nevadensis B.L. Johnson,,US06
ACOC3,,Achnatherum occidentale (Thurb.) Barkworth,western needlegrass,US06
ACOCC,STCA2,Stipa californica Merr. & Burtt Davy,,US06
ACOCC,ACNEL2,Achnatherum nelsonii (Scribn.) Barkworth ssp. longiaristatum (Barkworth & Maze) Barkworth,,US06
ACOCC,,Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth,California needlegrass,US06
ACOCC,STNEL3,Stipa nelsonii Scribn. var. longiaristata Barkworth & Maze,,US06
ACOCC,STOCC,Stipa occidentalis Thurb. var. californica (Merr. & Burtt Davy) C.L. Hitchc.,,US06
ACOCO,STOC2,Stipa occidentalis Thurb.,,US06
ACOCO,,Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale,western needlegrass,US06
ACOCP,,Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth,pubescent western needlegrass,US06
ACOCP,STOCP,"Stipa occidentalis Thurb. var. pubescens (Vasey) Maze, Roy L. Taylor & MacBryde",,US06
ACOCP,STEL2,Stipa elmeri Piper & Brodie ex Scribn.,,US06
ACPA13,,Achnatherum parishii (Vasey) Barkworth,Parish's needlegrass,US06
ACPAP,STCOP2,Stipa coronata Thurb. var. parishii (Vasey) Hitchc.,,US06
ACPAP,STPA17,Stipa parishii Vasey,,US06
ACPAP,,Achnatherum parishii (Vasey) Barkworth var. parishii,Parish's needlegrass,US06
ACPI2,STPI2,Stipa pinetorum M.E. Jones,,US06
ACPI2,,Achnatherum pinetorum (M.E. Jones) Barkworth,pine needlegrass,US06
ACSP12,,Achnatherum speciosum (Trin. & Rupr.) Barkworth,desert needlegrass,US06
ACSP12,STSP3,Stipa speciosa Trin. & Rupr.,,US06
ACST7,,Achnatherum stillmanii (Bol.) Barkworth,Stillman's needlegrass,US06
ACST7,STST2,Stipa stillmanii Bol.,,US06
ACTH7,STTH2,Stipa thurberiana Piper,,US06
ACTH7,,Achnatherum thurberianum (Piper) Barkworth,Thurber's needlegrass,US06
ACWE3,,Achnatherum webberi (Thurb.) Barkworth,Webber needlegrass,US06
ACWE3,ORWE,Oryzopsis webberi (Thurb.) Benth. ex Vasey,,US06
ACWE3,STWE,Stipa webberi (Thurb.) B.L. Johnson,,US06
ACHYR,,Achyrachaena Schauer,blow wives,US06
ACMO2,,Achyrachaena mollis Schauer,blow wives,US06
ACHYR3,,Achyronychia Torr. & A. Gray,achyronychia,US06
ACCO3,,Achyronychia cooperi Torr. & A. Gray,onyxflower,US06
ACLEI,,Acleisanthes A. Gray,trumpets,US06
ACLO2,,Acleisanthes longiflora A. Gray,angel's trumpets,US06
ACONI,,Aconitum L.,monkshood,US06
ACCO4,,Aconitum columbianum Nutt.,Columbian monkshood,US06
ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,US06
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,US06
ACCOC3,ACGE3,Aconitum geranioides Greene,,US06
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,US06
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,US06
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,US06
ACCOC3,ACLE6,Aconitum leibergii Greene,,US06
ACCOV2,ACCOH,Aconitum columbianum Nutt. var. howellii (A. Nelson & J.F. Macbr.) C.L. Hitchc.,,US06
ACCOV2,ACBU,Aconitum bulbiferum Howell,,US06
ACCOV2,,Aconitum columbianum Nutt. ssp. viviparum (Greene) D.E. Brink,Columbian monkshood,US06
ACCOV2,ACHA2,Aconitum hansenii Greene,,US06
ACCOV2,ACHO,Aconitum howellii A. Nelson & J.F. Macbr.,,US06
ACCOV2,ACVI5,Aconitum viviparum Greene,,US06
ACORU,,Acorus L.,sweetflag,US06
ACCA4,,Acorus calamus L.,calamus,US06
ACOUR,,Acourtia D. Don,desertpeony,US06
ACMI3,,Acourtia microcephala DC.,sacapellote,US06
ACMI3,PEMI11,Perezia microcephala (DC.) A. Gray,,US06
ACRAC,,Acrachne Chiov.,goosegrass,US06
ACRA6,,Acrachne racemosa (Roem. & Schult.) Ohwi,goosegrass,US06
ACRA6,ELRA5,Eleusine racemosa Roem. & Schult.,,US06
ACROP,,Acroptilon Cass.,hardheads,US06
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,,US06
ACRE3,,Acroptilon repens (L.) DC.,hardheads,US06
ACRE3,CERE6,Centaurea repens L.,,US06
ACTAE,,Actaea L.,baneberry,US06
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,US06
ACRUA8,ACAR7,Actaea arguta Nutt.,,US06
ACRUA8,,Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén,red baneberry,US06
ACRUA8,ACRUA,Actaea rubra (Aiton) Willd. var. arguta (Nutt.) G. Lawson,,US06
ACRUA8,ACARV,Actaea arguta Nutt. var. viridiflora (Greene) Tidestr.,,US06
ACRUA8,ACSPA,Actaea spicata L. var. arguta (Nutt.) Torr.,,US06
ADENO,,Adenocaulon Hook.,trailplant,US06
ADBI,,Adenocaulon bicolor Hook.,American trailplant,US06
ADENO5,,Adenophyllum Pers.,dogweed,US06
ADCO2,,Adenophyllum cooperi (A. Gray) Strother,Cooper's dogweed,US06
ADCO2,DYCO2,Dyssodia cooperi A. Gray,,US06
ADPO,,Adenophyllum porophylloides (A. Gray) Strother,San Felipe dogweed,US06
ADPO,DYPO,Dyssodia porophylloides A. Gray,,US06
ADENO2,,Adenostoma Hook. & Arn.,chamise,US06
ADFA,,Adenostoma fasciculatum Hook. & Arn.,chamise,US06
ADFAF,,Adenostoma fasciculatum Hook. & Arn. var. fasciculatum,chamise,US06
ADFAO,,Adenostoma fasciculatum Hook. & Arn. var. obtusifolium S. Watson,chamise,US06
ADSP,,Adenostoma sparsifolium Torr.,redshank,US06
ADIAN,,Adiantum L.,maidenhair fern,US06
ADTR3,,Adiantum ×tracyi C.C. Hall ex W.H. Wagner [aleuticum × jordanii],maidenhair fern,US06
ADAL,,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,US06
